,종목코드,종목명,종류
604,A031820,콤텍시스템,KOSPI
605,A032350,롯데관광개발,KOSPI
606,A032560,황금에스티,KOSPI
607,A032640,LG유플러스,KOSPI
608,A032830,삼성생명,KOSPI
609,A033180,필룩스,KOSPI
610,A033240,자화전자,KOSPI
611,A033250,체시스,KOSPI
612,A033270,유나이티드제약,KOSPI
613,A033530,세종공업,KOSPI
614,A033660,아주캐피탈,KOSPI
615,A033780,KT&G,KOSPI
616,A033920,무학,KOSPI
617,A034020,두산중공업,KOSPI
618,A034120,SBS,KOSPI
619,A034220,LG디스플레이,KOSPI
620,A034300,신세계건설,KOSPI
621,A034310,NICE,KOSPI
622,A034590,인천도시가스,KOSPI
623,A034730,SK,KOSPI
624,A03473K,SK우,KOSPI
625,A034830,한국토지신탁,KOSPI
626,A035000,지투알,KOSPI
627,A035150,백산,KOSPI
628,A035250,강원랜드,KOSPI
629,A035420,NAVER,KOSPI
630,A035510,신세계 I&C,KOSPI
631,A035720,카카오,KOSPI
632,A036420,제이콘텐트리,KOSPI
633,A036460,한국가스공사,KOSPI
634,A036530,S&T홀딩스,KOSPI
635,A036570,엔씨소프트,KOSPI
636,A036580,팜스코,KOSPI
637,A037270,YG PLUS,KOSPI
638,A037560,CJ헬로,KOSPI
639,A037710,광주신세계,KOSPI
640,A039130,하나투어,KOSPI
641,A039490,키움증권,KOSPI
642,A039570,HDC아이콘트롤스,KOSPI
643,A041650,상신브레이크,KOSPI
644,A042660,대우조선해양,KOSPI
645,A042670,두산인프라코어,KOSPI
646,A042700,한미반도체,KOSPI
647,A044380,주연테크,KOSPI
648,A044450,KSS해운,KOSPI
649,A044820,코스맥스비티아이,KOSPI
650,A047040,대우건설,KOSPI
651,A047050,포스코인터내셔널,KOSPI
652,A047400,유니온머티리얼,KOSPI
653,A047810,한국항공우주,KOSPI
654,A049770,동원F&B,KOSPI
655,A049800,우진플라임,KOSPI
656,A051600,한전KPS,KOSPI
657,A051630,진양화학,KOSPI
658,A051900,LG생활건강,KOSPI
659,A051905,LG생활건강우,KOSPI
660,A051910,LG화학,KOSPI
661,A051915,LG화학우,KOSPI
662,A052690,한전기술,KOSPI
663,A053210,스카이라이프,KOSPI
664,A053690,한미글로벌,KOSPI
665,A055490,테이팩스,KOSPI
666,A055550,신한지주,KOSPI
667,A057050,현대홈쇼핑,KOSPI
668,A058430,포스코강판,KOSPI
669,A058650,세아홀딩스,KOSPI
670,A058730,다스코,KOSPI
671,A058850,KTcs,KOSPI
672,A058860,KTis,KOSPI
673,A060980,한라홀딩스,KOSPI
674,A063160,종근당바이오,KOSPI
675,A064350,현대로템,KOSPI
676,A064960,S&T모티브,KOSPI
677,A066570,LG전자,KOSPI
678,A066575,LG전자우,KOSPI
679,A067830,세이브존I&C,KOSPI
680,A068270,셀트리온,KOSPI
681,A068290,삼성출판사,KOSPI
682,A068400,AJ렌터카,KOSPI
683,A069260,휴켐스,KOSPI
684,A069460,대호에이엘,KOSPI
685,A069500,KODEX 200,KOSPI
686,A069620,대웅제약,KOSPI
687,A069640,한세엠케이,KOSPI
688,A069660,KOSEF 200,KOSPI
689,A069730,DSR제강,KOSPI
690,A069960,현대백화점,KOSPI
691,A070960,용평리조트,KOSPI
692,A071050,한국금융지주,KOSPI
693,A071055,한국금융지주우,KOSPI
694,A071090,하이스틸,KOSPI
695,A071320,지역난방공사,KOSPI
696,A071840,롯데하이마트,KOSPI
697,A071950,코아스,KOSPI
698,A071970,STX중공업,KOSPI
699,A072130,유엔젤,KOSPI
700,A072710,농심홀딩스,KOSPI
701,A073240,금호타이어,KOSPI
702,A074610,나노메딕스,KOSPI
703,A075180,새론오토모티브,KOSPI
704,A075580,세진중공업,KOSPI
705,A077500,유니퀘스트,KOSPI
706,A077970,STX엔진,KOSPI
707,A078000,텔코웨어,KOSPI
708,A078520,에이블씨엔씨,KOSPI
709,A078930,GS,KOSPI
710,A078935,GS우,KOSPI
711,A079160,CJ CGV,KOSPI
712,A079430,현대리바트,KOSPI
713,A079440,오렌지라이프,KOSPI
714,A079550,LIG넥스원,KOSPI
715,A079980,휴비스,KOSPI
716,A081000,일진다이아,KOSPI
717,A081660,휠라코리아,KOSPI
718,A082640,동양생명,KOSPI
719,A082740,HSD엔진,KOSPI
720,A083370,동북아12호,KOSPI
721,A083380,동북아13호,KOSPI
722,A083420,그린케미칼,KOSPI
723,A084010,대한제강,KOSPI
724,A084670,동양고속,KOSPI
725,A084680,이월드,KOSPI
726,A084690,대상홀딩스,KOSPI
727,A084695,대상홀딩스우,KOSPI
728,A084870,TBH글로벌,KOSPI
729,A085310,엔케이,KOSPI
730,A085620,미래에셋생명,KOSPI
731,A086280,현대글로비스,KOSPI
732,A086790,하나금융지주,KOSPI
733,A088260,이리츠코크렙,KOSPI
734,A088350,한화생명,KOSPI
735,A088790,진도,KOSPI
736,A088980,맥쿼리인프라,KOSPI
737,A089470,HDC현대EP,KOSPI
738,A089590,제주항공,KOSPI
739,A090080,평화산업,KOSPI
740,A090350,노루페인트,KOSPI
741,A090355,노루페인트우,KOSPI
742,A090370,메타랩스,KOSPI
743,A090430,아모레퍼시픽,KOSPI
744,A090435,아모레퍼시픽우,KOSPI
745,A091090,세원셀론텍,KOSPI
746,A091160,KODEX 반도체,KOSPI
747,A091170,KODEX 은행,KOSPI
748,A091180,KODEX 자동차,KOSPI
749,A091220,TIGER 은행,KOSPI
750,A091230,TIGER 반도체,KOSPI
751,A091810,티웨이항공,KOSPI
752,A092200,디아이씨,KOSPI
753,A092220,KEC,KOSPI
754,A092230,KPX홀딩스,KOSPI
755,A092440,기신정기,KOSPI
756,A092780,동양피스톤,KOSPI
757,A093050,LF,KOSPI
758,A093230,이아이디,KOSPI
759,A093240,형지엘리트,KOSPI
760,A093370,후성,KOSPI
761,A094280,효성ITX,KOSPI
762,A094800,맵스리얼티1,KOSPI
763,A095570,AJ네트웍스,KOSPI
764,A095720,웅진씽크빅,KOSPI
